date,product_id,price,quantity_sold,competitor_price,revenue
2024-01-01,PRD-E01,149.99,4,144.99,599.96
2024-01-01,PRD-E02,199.99,9,194.99,1799.91
2024-01-01,PRD-E03,249.99,0,239.0,0.0
2024-01-01,PRD-E04,59.99,14,54.99,839.86
2024-01-01,PRD-A01,64.99,7,62.0,441.93
2024-01-01,PRD-A02,119.99,1,114.99,119.99
2024-01-01,PRD-A03,44.99,14,47.99,629.86
2024-01-01,PRD-A04,94.99,3,98.0,284.97
2024-01-01,PRD-H01,49.99,8,54.99,399.92
2024-01-01,PRD-H02,159.99,2,149.99,319.98
2024-01-01,PRD-H03,299.99,2,284.99,569.98
2024-01-01,PRD-H04,129.99,3,124.99,389.97
2024-01-01,PRD-B01,38.0,9,42.0,342.0
2024-01-01,PRD-B02,54.0,4,58.0,216.0
2024-01-01,PRD-B03,39.99,22,37.99,861.78
2024-01-01,PRD-B04,89.99,4,84.99,359.96
2024-01-01,PRD-S01,199.99,7,189.99,1399.93
2024-01-01,PRD-S02,29.99,17,32.99,493.33
2024-01-01,PRD-S03,149.99,0,139.99,0.0
2024-01-01,PRD-S04,49.99,2,47.99,97.48
2024-01-02,PRD-E01,149.99,3,144.99,434.97
2024-01-02,PRD-E02,199.99,7,194.99,1389.93
2024-01-02,PRD-E03,249.99,3,239.0,749.97
2024-01-02,PRD-E04,59.99,2,54.99,116.98
2024-01-02,PRD-A01,64.99,2,62.0,129.98
2024-01-02,PRD-A02,119.99,2,114.99,215.98
2024-01-02,PRD-A03,44.99,18,47.99,798.57
2024-01-02,PRD-A04,94.99,4,98.0,341.96
2024-01-02,PRD-H01,49.99,0,54.99,0.0
2024-01-02,PRD-H02,159.99,8,149.99,1247.92
2024-01-02,PRD-H03,299.99,2,284.99,599.98
2024-01-02,PRD-H04,129.99,2,124.99,233.98
2024-01-02,PRD-B01,38.0,15,42.0,568.1
2024-01-02,PRD-B02,54.0,19,58.0,1026.0
2024-01-02,PRD-B03,39.99,9,37.99,353.91
2024-01-02,PRD-B04,89.99,1,84.99,89.99
2024-01-02,PRD-S01,199.99,8,189.99,1599.92
2024-01-02,PRD-S02,29.99,13,32.99,380.87
