customer_id,customer_segment,age_group,region,acquisition_channel,customer_lifetime_value
CUST-00001,Value Seekers,26-35,North,Organic Search,749.81
CUST-00002,Premium / High-End,51-65,East,Organic Search,1675.88
CUST-00003,Value Seekers,26-35,North,Paid Social,239.31
CUST-00004,Budget Shoppers,36-50,North,Paid Social,701.7
CUST-00005,Budget Shoppers,36-50,East,Organic Search,216.14
CUST-00006,Premium / High-End,26-35,East,Organic Search,1055.39
CUST-00007,Corporate / Bulk,18-25,South,Organic Search,5975.63
CUST-00008,Premium / High-End,36-50,East,Email Marketing,2431.06
CUST-00009,Value Seekers,26-35,West,Paid Social,1092.76
CUST-00010,Premium / High-End,51-65,East,Paid Social,1667.78
CUST-00011,Premium / High-End,26-35,North,Organic Search,2471.53
CUST-00012,Budget Shoppers,18-25,North,Organic Search,313.03
CUST-00013,Value Seekers,26-35,South,Organic Search,966.65
CUST-00014,Budget Shoppers,36-50,West,Email Marketing,534.99
CUST-00015,Budget Shoppers,18-25,East,Paid Social,201.2
CUST-00016,Corporate / Bulk,26-35,East,Email Marketing,8020.73
CUST-00017,Premium / High-End,26-35,East,Organic Search,732.49
CUST-00018,Budget Shoppers,26-35,North,Direct,331.95
CUST-00019,Premium / High-End,36-50,South,Paid Social,3780.14
CUST-00020,Corporate / Bulk,26-35,South,Organic Search,6997.74
CUST-00021,Value Seekers,36-50,North,Referral,1651.62
CUST-00022,Value Seekers,65+,North,Paid Social,391.31
CUST-00023,Budget Shoppers,18-25,North,Email Marketing,373.68
CUST-00024,Premium / High-End,18-25,South,Paid Social,2397.98
CUST-00025,Corporate / Bulk,65+,East,Referral,9305.27
CUST-00026,Budget Shoppers,36-50,East,Paid Social,548.34
CUST-00027,Budget Shoppers,18-25,East,Paid Social,305.13
CUST-00028,Value Seekers,51-65,West,Organic Search,496.77
CUST-00029,Value Seekers,51-65,North,Referral,1146.39
CUST-00030,Budget Shoppers,36-50,East,Organic Search,181.09
CUST-00031,Premium / High-End,36-50,East,Paid Social,2157.1
CUST-00032,Budget Shoppers,18-25,South,Direct,582.61
CUST-00033,Premium / High-End,26-35,West,Organic Search,3170.61
CUST-00034,Premium / High-End,18-25,West,Paid Social,5249.43
CUST-00035,Budget Shoppers,36-50,East,Organic Search,236.14
CUST-00036,Value Seekers,26-35,East,Referral,562.13
CUST-00037,Value Seekers,26-35,North,Email Marketing,759.29
CUST-00038,Budget Shoppers,65+,South,Email Marketing,235.66
CUST-00039,Value Seekers,18-25,East,Organic Search,1324.47
CUST-00040,Budget Shoppers,26-35,East,Organic Search,415.09
CUST-00041,Budget Shoppers,26-35,East,Direct,758.32
CUST-00042,Premium / High-End,26-35,North,Email Marketing,2168.59
CUST-00043,Budget Shoppers,51-65,North,Paid Social,742.27
CUST-00044,Value Seekers,36-50,East,Organic Search,571.75
CUST-00045,Budget Shoppers,26-35,South,Paid Social,530.64
CUST-00046,Premium / High-End,65+,East,Organic Search,2678.0
CUST-00047,Value Seekers,51-65,South,Organic Search,1200.19
CUST-00048,Budget Shoppers,26-35,South,Organic Search,387.82
CUST-00049,Budget Shoppers,26-35,West,Referral,604.82
CUST-00050,Value Seekers,65+,North,Referral,746.29
CUST-00051,Corporate / Bulk,51-65,West,Organic Search,7484.64
CUST-00052,Value Seekers,26-35,North,Organic Search,347.15
CUST-00053,Value Seekers,26-35,West,Referral,741.15
CUST-00054,Value Seekers,65+,South,Direct,505.95
CUST-00055,Value Seekers,18-25,East,Organic Search,811.98
CUST-00056,Corporate / Bulk,26-35,East,Email Marketing,4742.52
CUST-00057,Budget Shoppers,26-35,East,Referral,58.16
CUST-00058,Budget Shoppers,18-25,West,Organic Search,174.26
CUST-00059,Value Seekers,26-35,East,Organic Search,624.72
CUST-00060,Premium / High-End,36-50,North,Email Marketing,2105.1
CUST-00061,Value Seekers,26-35,East,Direct,1098.53
CUST-00062,Budget Shoppers,26-35,East,Paid Social,103.69
CUST-00063,Value Seekers,26-35,South,Email Marketing,1795.11
CUST-00064,Budget Shoppers,65+,South,Direct,575.45
CUST-00065,Budget Shoppers,26-35,North,Direct,756.99
CUST-00066,Premium / High-End,26-35,West,Organic Search,2476.91
CUST-00067,Premium / High-End,36-50,East,Direct,1625.56
CUST-00068,Value Seekers,36-50,North,Organic Search,444.42
CUST-00069,Value Seekers,18-25,West,Organic Search,900.21
CUST-00070,Budget Shoppers,26-35,East,Email Marketing,226.89
CUST-00071,Premium / High-End,36-50,North,Organic Search,1978.09
CUST-00072,Value Seekers,51-65,West,Organic Search,343.61
CUST-00073,Value Seekers,18-25,North,Email Marketing,1237.99
CUST-00074,Value Seekers,36-50,North,Paid Social,729.11
CUST-00075,Value Seekers,18-25,North,Referral,562.44
CUST-00076,Corporate / Bulk,51-65,East,Paid Social,5281.9
CUST-00077,Budget Shoppers,26-35,North,Referral,492.02
CUST-00078,Premium / High-End,51-65,West,Organic Search,2147.09
CUST-00079,Budget Shoppers,36-50,North,Referral,92.35
CUST-00080,Value Seekers,18-25,East,Direct,1051.07
CUST-00081,Premium / High-End,36-50,West,Referral,1565.88
CUST-00082,Budget Shoppers,26-35,East,Direct,290.45
CUST-00083,Premium / High-End,36-50,West,Organic Search,1798.75
CUST-00084,Premium / High-End,51-65,North,Referral,4187.6
CUST-00085,Budget Shoppers,26-35,West,Organic Search,52.85
CUST-00086,Premium / High-End,18-25,North,Organic Search,1377.46
CUST-00087,Budget Shoppers,65+,West,Organic Search,235.23
CUST-00088,Value Seekers,65+,South,Paid Social,1169.43
CUST-00089,Corporate / Bulk,65+,North,Organic Search,7631.51
CUST-00090,Corporate / Bulk,18-25,North,Paid Social,4782.67
CUST-00091,Premium / High-End,36-50,South,Paid Social,1641.21
CUST-00092,Value Seekers,26-35,East,Email Marketing,830.37
CUST-00093,Budget Shoppers,26-35,West,Email Marketing,243.43
CUST-00094,Premium / High-End,26-35,East,Organic Search,951.49
CUST-00095,Value Seekers,26-35,South,Referral,1380.41
CUST-00096,Premium / High-End,26-35,South,Paid Social,2298.51
CUST-00097,Value Seekers,18-25,South,Paid Social,598.71
CUST-00098,Corporate / Bulk,51-65,East,Email Marketing,4811.32
CUST-00099,Budget Shoppers,18-25,East,Organic Search,540.6
CUST-00100,Value Seekers,36-50,East,Paid Social,1030.89
CUST-00101,Value Seekers,26-35,North,Direct,1400.25
CUST-00102,Premium / High-End,18-25,North,Paid Social,1631.74
CUST-00103,Value Seekers,36-50,South,Email Marketing,1089.84
CUST-00104,Value Seekers,26-35,North,Organic Search,986.76
CUST-00105,Budget Shoppers,51-65,South,Organic Search,384.19
CUST-00106,Value Seekers,26-35,East,Email Marketing,521.21
CUST-00107,Value Seekers,36-50,North,Organic Search,1022.58
CUST-00108,Premium / High-End,18-25,East,Paid Social,2644.49
CUST-00109,Budget Shoppers,26-35,West,Organic Search,214.5
CUST-00110,Budget Shoppers,26-35,West,Referral,426.73
CUST-00111,Value Seekers,36-50,West,Direct,545.22
CUST-00112,Premium / High-End,36-50,East,Paid Social,2764.32
CUST-00113,Premium / High-End,51-65,East,Email Marketing,2491.7
CUST-00114,Value Seekers,26-35,North,Email Marketing,1015.98
CUST-00115,Premium / High-End,36-50,East,Organic Search,2061.78
CUST-00116,Budget Shoppers,26-35,South,Organic Search,541.33
CUST-00117,Value Seekers,26-35,North,Email Marketing,485.44
CUST-00118,Premium / High-End,26-35,North,Paid Social,2181.01
CUST-00119,Value Seekers,26-35,North,Direct,1557.95
CUST-00120,Value Seekers,51-65,East,Email Marketing,693.69
CUST-00121,Value Seekers,26-35,North,Email Marketing,909.41
CUST-00122,Premium / High-End,26-35,West,Email Marketing,2266.0
CUST-00123,Value Seekers,26-35,East,Organic Search,603.01
CUST-00124,Value Seekers,26-35,North,Email Marketing,589.33
CUST-00125,Value Seekers,26-35,North,Organic Search,1824.37
CUST-00126,Value Seekers,26-35,North,Paid Social,955.92
CUST-00127,Budget Shoppers,18-25,East,Paid Social,313.55
CUST-00128,Budget Shoppers,26-35,South,Paid Social,1114.51
CUST-00129,Premium / High-End,36-50,South,Referral,3002.84
CUST-00130,Budget Shoppers,18-25,North,Paid Social,674.45
CUST-00131,Corporate / Bulk,36-50,South,Referral,6933.51
CUST-00132,Value Seekers,51-65,East,Organic Search,2104.23
CUST-00133,Budget Shoppers,18-25,North,Email Marketing,454.52
CUST-00134,Value Seekers,36-50,North,Email Marketing,546.21
CUST-00135,Budget Shoppers,36-50,East,Organic Search,735.26
CUST-00136,Premium / High-End,18-25,West,Organic Search,1085.09
CUST-00137,Budget Shoppers,65+,East,Paid Social,465.07
CUST-00138,Premium / High-End,36-50,North,Email Marketing,1103.19
CUST-00139,Budget Shoppers,51-65,East,Email Marketing,391.97
CUST-00140,Budget Shoppers,36-50,West,Paid Social,360.08
CUST-00141,Value Seekers,26-35,South,Paid Social,552.43
CUST-00142,Premium / High-End,18-25,West,Direct,2960.25
CUST-00143,Value Seekers,36-50,West,Paid Social,786.73
CUST-00144,Premium / High-End,26-35,West,Referral,1868.76
CUST-00145,Value Seekers,26-35,South,Email Marketing,693.95
CUST-00146,Budget Shoppers,51-65,West,Organic Search,680.0
CUST-00147,Premium / High-End,26-35,North,Email Marketing,3658.62
