transaction_id,date,product_id,customer_id,region,quantity,unit_price,discount,revenue,cost,profit,competitor_price,inventory_level
TXN-0000001,2024-01-01,PRD-E01,CUST-02610,North,1,149.99,0.0,149.99,85.0,64.99,144.99,4499
TXN-0000002,2024-01-01,PRD-E01,CUST-00198,South,2,149.99,0.0,299.98,170.0,129.98,144.99,4497
TXN-0000003,2024-01-01,PRD-E01,CUST-01966,East,1,149.99,0.0,149.99,85.0,64.99,144.99,4496
TXN-0000004,2024-01-01,PRD-E02,CUST-01624,North,1,199.99,0.0,199.99,110.0,89.99,194.99,3799
TXN-0000005,2024-01-01,PRD-E02,CUST-00142,West,1,199.99,0.0,199.99,110.0,89.99,194.99,3798
TXN-0000006,2024-01-01,PRD-E02,CUST-02329,East,1,199.99,0.0,199.99,110.0,89.99,194.99,3797
TXN-0000007,2024-01-01,PRD-E02,CUST-03015,East,1,199.99,0.0,199.99,110.0,89.99,194.99,3796
TXN-0000008,2024-01-01,PRD-E02,CUST-03279,South,1,199.99,0.0,199.99,110.0,89.99,194.99,3795
TXN-0000009,2024-01-01,PRD-E02,CUST-01708,South,1,199.99,0.0,199.99,110.0,89.99,194.99,3794
TXN-0000010,2024-01-01,PRD-E02,CUST-00302,South,2,199.99,0.0,399.98,220.0,179.98,194.99,3792
TXN-0000011,2024-01-01,PRD-E02,CUST-02445,North,1,199.99,0.0,199.99,110.0,89.99,194.99,3791
TXN-0000012,2024-01-01,PRD-E04,CUST-03429,North,1,59.99,0.0,59.99,26.0,33.99,54.99,5999
TXN-0000013,2024-01-01,PRD-E04,CUST-00236,South,1,59.99,0.0,59.99,26.0,33.99,54.99,5998
TXN-0000014,2024-01-01,PRD-E04,CUST-01784,North,1,59.99,0.0,59.99,26.0,33.99,54.99,5997
TXN-0000015,2024-01-01,PRD-E04,CUST-00100,East,1,59.99,0.0,59.99,26.0,33.99,54.99,5996
TXN-0000016,2024-01-01,PRD-E04,CUST-02787,South,10,59.99,0.0,599.9,260.0,339.9,54.99,5986
TXN-0000017,2024-01-01,PRD-A01,CUST-02642,East,1,64.99,0.2,51.99,22.0,29.99,62.0,5199
TXN-0000018,2024-01-01,PRD-A01,CUST-00930,East,1,64.99,0.0,64.99,22.0,42.99,62.0,5198
TXN-0000019,2024-01-01,PRD-A01,CUST-02113,East,1,64.99,0.0,64.99,22.0,42.99,62.0,5197
TXN-0000020,2024-01-01,PRD-A01,CUST-00855,North,1,64.99,0.0,64.99,22.0,42.99,62.0,5196
TXN-0000021,2024-01-01,PRD-A01,CUST-02850,West,1,64.99,0.0,64.99,22.0,42.99,62.0,5195
TXN-0000022,2024-01-01,PRD-A01,CUST-01892,South,1,64.99,0.0,64.99,22.0,42.99,62.0,5194
TXN-0000023,2024-01-01,PRD-A01,CUST-00136,West,1,64.99,0.0,64.99,22.0,42.99,62.0,5193
TXN-0000024,2024-01-01,PRD-A02,CUST-01521,South,1,119.99,0.0,119.99,44.0,75.99,114.99,3999
TXN-0000025,2024-01-01,PRD-A03,CUST-00426,East,1,44.99,0.0,44.99,14.0,30.99,47.99,6999
TXN-0000026,2024-01-01,PRD-A03,CUST-03149,West,1,44.99,0.0,44.99,14.0,30.99,47.99,6998
TXN-0000027,2024-01-01,PRD-A03,CUST-03030,East,8,44.99,0.0,359.92,112.0,247.92,47.99,6990
TXN-0000028,2024-01-01,PRD-A03,CUST-00510,North,3,44.99,0.0,134.97,42.0,92.97,47.99,6987
TXN-0000029,2024-01-01,PRD-A03,CUST-00140,West,1,44.99,0.0,44.99,14.0,30.99,47.99,6986
TXN-0000030,2024-01-01,PRD-A04,CUST-01344,West,2,94.99,0.0,189.98,76.0,113.98,98.0,3398
TXN-0000031,2024-01-01,PRD-A04,CUST-00570,East,1,94.99,0.0,94.99,38.0,56.99,98.0,3397
TXN-0000032,2024-01-01,PRD-H01,CUST-02618,West,1,49.99,0.0,49.99,18.0,31.99,54.99,4799
TXN-0000033,2024-01-01,PRD-H01,CUST-00025,East,4,49.99,0.0,199.96,72.0,127.96,54.99,4795
TXN-0000034,2024-01-01,PRD-H01,CUST-01840,West,1,49.99,0.0,49.99,18.0,31.99,54.99,4794
TXN-0000035,01/01/2024,PRD-H01,CUST-00260,South,1,49.99,0.0,49.99,18.0,31.99,54.99,4793
TXN-0000036,2024-01-01,PRD-H01,CUST-02014,East,1,49.99,0.0,49.99,18.0,31.99,54.99,4792
TXN-0000037,2024-01-01,PRD-H02,CUST-03037,West,1,159.99,0.0,159.99,75.0,84.99,149.99,2799
TXN-0000038,2024-01-01,PRD-H02,CUST-02267,West,1,159.99,0.0,159.99,75.0,84.99,149.99,2798
TXN-0000039,2024-01-01,PRD-H03,CUST-00746,East,1,299.99,0.1,269.99,160.0,109.99,284.99,1599
TXN-0000040,2024-01-01,PRD-H03,CUST-02056,East,1,299.99,0.0,299.99,160.0,139.99,284.99,1598
TXN-0000041,2024-01-01,PRD-H04,CUST-00203,East,1,129.99,0.0,129.99,55.0,74.99,124.99,3199
TXN-0000042,2024-01-01,PRD-H04,CUST-00777,South,2,129.99,0.0,259.98,110.0,149.98,124.99,3197
TXN-0000043,2024-01-01,PRD-B01,CUST-03165,East,4,38.0,0.0,152.0,34.0,118.0,42.0,9496
TXN-0000044,01/01/2024,PRD-B01,CUST-02849,North,1,38.0,0.0,38.0,8.5,29.5,42.0,9495
TXN-0000045,2024-01-01,PRD-B01,CUST-02918,South,1,38.0,0.0,38.0,8.5,29.5,42.0,9494
TXN-0000046,2024-01-01,PRD-B01,CUST-02967,East,1,38.0,,38.0,8.5,29.5,42.0,9493
TXN-0000047,2024-01-01,PRD-B01,CUST-01723,South,1,38.0,0.0,38.0,8.5,29.5,42.0,9492
TXN-0000048,2024-01-01,PRD-B01,CUST-00849,North,1,38.0,0.0,38.0,8.5,29.5,42.0,9491
TXN-0000049,2024-01-01,PRD-B02,CUST-01534,North,1,54.0,0.0,54.0,12.0,42.0,58.0,7999
TXN-0000050,2024-01-01,PRD-B02,CUST-00662,East,1,54.0,0.0,54.0,12.0,42.0,58.0,7998
TXN-0000051,2024-01-01,PRD-B02,CUST-03395,East,1,54.0,0.0,54.0,12.0,42.0,58.0,7997
TXN-0000052,2024-01-01,PRD-B02,CUST-01202,East,1,54.0,0.0,54.0,12.0,42.0,58.0,7996
TXN-0000053,2024-01-01,PRD-B03,CUST-03117,East,1,39.99,0.0,39.99,16.5,23.49,37.99,5499
TXN-0000054,2024-01-01,PRD-B03,CUST-00684,South,1,39.99,0.0,39.99,16.5,23.49,37.99,5498
TXN-0000055,2024-01-01,PRD-B03,CUST-01800,North,1,39.99,0.15,33.99,16.5,17.49,37.99,5497
TXN-0000056,2024-01-01,PRD-B03,CUST-03455,West,1,39.99,0.0,39.99,16.5,23.49,37.99,5496
TXN-0000057,2024-01-01,PRD-B03,CUST-01602,East,3,39.99,0.0,119.97,49.5,70.47,37.99,5493
TXN-0000058,2024-01-01,PRD-B03,CUST-02833,East,2,39.99,0.0,79.98,33.0,46.98,37.99,5491
TXN-0000059,2024-01-01,PRD-B03,CUST-00071,North,1,39.99,0.0,39.99,16.5,23.49,37.99,5490
TXN-0000060,2024-01-01,PRD-B03,CUST-01889,West,4,39.99,0.0,159.96,66.0,93.96,37.99,5486
TXN-0000061,2024-01-01,PRD-B03,CUST-01263,South,2,39.99,0.15,67.98,33.0,34.98,37.99,5484
TXN-0000062,2024-01-01,PRD-B03,CUST-02156,South,1,39.99,0.0,39.99,16.5,23.49,37.99,5483
TXN-0000063,2024-01-01,PRD-B03,CUST-01232,South,2,39.99,0.0,79.98,33.0,46.98,37.99,5481
TXN-0000064,2024-01-01,PRD-B03,CUST-00722,North,3,39.99,0.0,119.97,49.5,70.47,37.99,5478
TXN-0000065,2024-01-01,PRD-B04,CUST-02847,East,2,89.99,0.0,179.98,68.0,111.98,84.99,3098
TXN-0000066,01/01/2024,PRD-B04,CUST-01199,North,1,89.99,0.0,89.99,34.0,55.99,84.99,3097
TXN-0000067,2024-01-01,PRD-B04,CUST-01468,South,1,89.99,0.0,89.99,34.0,55.99,84.99,3096
TXN-0000068,2024-01-01,PRD-S01,CUST-02110,East,1,199.99,0.0,199.99,88.0,111.99,189.99,2499
TXN-0000069,2024-01-01,PRD-S01,CUST-00482,South,1,199.99,0.0,199.99,88.0,111.99,189.99,2498
TXN-0000070,2024-01-01,PRD-S01,CUST-01501,West,1,199.99,0.0,199.99,88.0,111.99,189.99,2497
TXN-0000071,2024-01-01,PRD-S01,CUST-01000,North,1,199.99,0.0,199.99,88.0,111.99,189.99,2496
TXN-0000072,01/01/2024,PRD-S01,CUST-00635,North,1,199.99,0.0,199.99,88.0,111.99,189.99,2495
TXN-0000073,2024-01-01,PRD-S01,CUST-03114,South,1,199.99,0.0,199.99,88.0,111.99,189.99,2494
TXN-0000074,2024-01-01,PRD-S01,CUST-01397,East,1,199.99,0.0,199.99,88.0,111.99,189.99,2493
TXN-0000075,2024-01-01,PRD-S02,CUST-02269,East,1,29.99,0.0,29.99,8.5,21.49,32.99,7499
TXN-0000076,2024-01-01,PRD-S02,CUST-01621,West,1,29.99,0.0,29.99,8.5,21.49,32.99,7498
TXN-0000077,2024-01-01,PRD-S02,CUST-02171,West,1,29.99,0.0,29.99,8.5,21.49,32.99,7497
TXN-0000078,2024-01-01,PRD-S02,CUST-02755,West,1,29.99,0.15,25.49,8.5,16.99,32.99,7496
TXN-0000079,2024-01-01,PRD-S02,CUST-01126,North,1,29.99,0.0,29.99,8.5,21.49,32.99,7495
TXN-0000080,2024-01-01,PRD-S02,CUST-01819,East,2,29.99,0.1,53.98,17.0,36.98,32.99,7493
TXN-0000081,2024-01-01,PRD-S02,CUST-00887,North,1,29.99,0.0,29.99,8.5,21.49,32.99,7492
TXN-0000082,2024-01-01,PRD-S02,CUST-03385,East,1,29.99,0.0,29.99,8.5,21.49,32.99,7491
TXN-0000083,2024-01-01,PRD-S02,CUST-01985,North,1,29.99,0.0,29.99,8.5,21.49,32.99,7490
TXN-0000084,2024-01-01,PRD-S02,CUST-00494,North,1,29.99,0.0,29.99,8.5,21.49,32.99,7489
TXN-0000085,2024-01-01,PRD-S02,CUST-00759,North,1,29.99,0.0,29.99,8.5,21.49,32.99,7488
TXN-0000086,2024-01-01,PRD-S02,CUST-01684,North,1,29.99,0.0,29.99,8.5,21.49,32.99,7487
TXN-0000087,2024-01-01,PRD-S02,CUST-03271,West,2,29.99,0.0,59.98,17.0,42.98,32.99,7485
TXN-0000088,2024-01-01,PRD-S02,CUST-00633,West,1,29.99,0.0,29.99,8.5,21.49,32.99,7484
TXN-0000089,2024-01-01,PRD-S02,CUST-00330,West,1,29.99,0.2,23.99,8.5,15.49,32.99,7483
TXN-0000090,2024-01-01,PRD-S04,CUST-00117,North,1,49.99,0.0,49.99,19.0,30.99,47.99,4599
TXN-0000091,2024-01-01,PRD-S04,CUST-03329,North,1,49.99,,47.49,19.0,28.49,47.99,4598
TXN-0000092,2024-01-02,PRD-E01,CUST-02533,West,1,149.99,0.0,149.99,85.0,64.99,144.99,4495
TXN-0000093,2024-01-02,PRD-E01,CUST-01046,East,1,149.99,0.0,149.99,85.0,64.99,144.99,4494
TXN-0000094,2024-01-02,PRD-E01,CUST-00595,North,1,149.99,0.1,134.99,85.0,49.99,144.99,4493
TXN-0000095,2024-01-02,PRD-E02,CUST-02016,South,1,199.99,0.05,189.99,110.0,79.99,194.99,3790
TXN-0000096,2024-01-02,PRD-E02,CUST-03080,West,1,199.99,0.0,199.99,110.0,89.99,194.99,3789
TXN-0000097,2024-01-02,PRD-E02,CUST-01061,West,4,199.99,0.0,799.96,440.0,359.96,194.99,3785
TXN-0000098,2024-01-02,PRD-E02,CUST-01622,West,1,199.99,0.0,199.99,110.0,89.99,194.99,3784
TXN-0000099,2024-01-02,PRD-E03,CUST-02269,East,1,249.99,0.0,249.99,140.0,109.99,239.0,2199
TXN-0000100,2024-01-02,PRD-E03,CUST-01217,West,2,249.99,0.0,499.98,280.0,219.98,239.0,2197
TXN-0000101,2024-01-02,PRD-E04,CUST-01267,South,1,59.99,0.0,59.99,26.0,33.99,54.99,5985
TXN-0000102,2024-01-02,PRD-E04,CUST-02481,East,1,59.99,0.05,56.99,26.0,30.99,54.99,5984
TXN-0000103,2024-01-02,PRD-A01,CUST-03200,North,2,64.99,,129.98,44.0,85.98,62.0,5191
TXN-0000104,2024-01-02,PRD-A02,CUST-01802,East,1,119.99,0.2,95.99,44.0,51.99,114.99,3998
TXN-0000105,2024-01-02,PRD-A02,CUST-02100,North,1,119.99,,119.99,44.0,75.99,114.99,3997
TXN-0000106,2024-01-02,PRD-A03,CUST-00046,East,1,44.99,0.0,44.99,14.0,30.99,47.99,6985
TXN-0000107,2024-01-02,PRD-A03,CUST-03297,West,1,44.99,0.0,44.99,14.0,30.99,47.99,6984
